Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2019-11-12,Avengers: Age of Ultron,2015,https://letterboxd.com/claycarson/film/avengers-age-of-ultron/,,,,2015-11-09
2019-11-12,Babe,1995,https://letterboxd.com/claycarson/film/babe/,,,,2015-11-09
2019-11-12,Babel,2006,https://letterboxd.com/claycarson/film/babel-2006/,,,,2015-11-09
2019-11-12,Baby Mama,2008,https://letterboxd.com/claycarson/film/baby-mama/,,,,2015-11-09
2019-11-12,Back to the Future,1985,https://letterboxd.com/claycarson/film/back-to-the-future/,,,,2015-11-09
2019-11-12,Bambi,1942,https://letterboxd.com/claycarson/film/bambi/,,,,2015-11-09
2019-11-12,BASEketball,1998,https://letterboxd.com/claycarson/film/baseketball/,,,,2015-11-09
2019-11-12,Batman & Robin,1997,https://letterboxd.com/claycarson/film/batman-robin/,,,,2015-11-09
2019-11-12,Batman,1966,https://letterboxd.com/claycarson/film/batman-1966/,,,,2015-11-09
2019-11-12,Batman Begins,2005,https://letterboxd.com/claycarson/film/batman-begins/,,,,2015-11-09
2019-11-12,Batman Forever,1995,https://letterboxd.com/claycarson/film/batman-forever/,,,,2015-11-09
2019-11-12,Batman Returns,1992,https://letterboxd.com/claycarson/film/batman-returns/,,,,2015-11-09
2019-11-12,Beasts of the Southern Wild,2012,https://letterboxd.com/claycarson/film/beasts-of-the-southern-wild/,,,,2015-11-09
2019-11-12,Beauty and the Beast,1991,https://letterboxd.com/claycarson/film/beauty-and-the-beast-1991/,,,,2015-11-09
2019-11-12,Being John Malkovich,1999,https://letterboxd.com/claycarson/film/being-john-malkovich/,,,,2015-11-09
2019-11-12,Bernie,2011,https://letterboxd.com/claycarson/film/bernie-2011/,,,,2015-11-09
2019-11-12,Big Daddy,1999,https://letterboxd.com/claycarson/film/big-daddy/,,,,2015-11-09
2019-11-12,Big Eyes,2014,https://letterboxd.com/claycarson/film/big-eyes/,,,,2015-11-09
2019-11-12,Big Momma's House,2000,https://letterboxd.com/claycarson/film/big-mommas-house/,,,,2015-11-09
2019-11-12,Billy Madison,1995,https://letterboxd.com/claycarson/film/billy-madison/,,,,2015-11-09
2019-11-12,Birdman,2014,https://letterboxd.com/claycarson/film/birdman/,,,,2015-11-09
2019-11-12,Black Hawk Down,2001,https://letterboxd.com/claycarson/film/black-hawk-down/,,,,2015-11-09
